 subject	trial	gazeX	gazeY	label
1	3	0.5113816	0.3117369	1
1	3	0.5132324	0.3063776	1
1	3	0.5142231	0.304309	1
1	3	0.5163192	0.3108998	1
1	3	0.5102441	0.319559	1
1	3	0.5149676	0.3112536	1
1	3	0.5163354	0.3060819	1
1	3	0.5184373	0.3149485	1
1	3	0.5144956	0.3094627	1
1	3	0.5198964	0.3056335	1
1	3	0.5222905	0.3071039	1
1	3	0.5204228	0.3134734	1
1	3	0.5205922	0.3141723	1
1	3	0.517145	0.3136777	1
1	3	0.5208466	0.318158	1
1	3	0.5213454	0.3053063	1
1	3	0.5220506	0.2990455	1
1	3	0.5154684	0.3110452	1
1	3	0.5226867	0.3049199	1
1	3	0.5245348	0.3041766	1
1	3	0.5215219	0.310534	1
1	3	0.5178656	0.3187487	1
1	3	0.5212299	0.3117398	1
1	3	0.5228675	0.3115263	1
1	3	0.5230351	0.2988398	1
1	3	0.5213776	0.3089249	1
1	3	0.5146138	0.3004278	1
1	3	0.5190946	0.3056092	1
1	3	0.5113164	0.3053409	1
1	3	0.5154679	0.3135901	1
1	3	0.5216301	0.3005269	1
1	3	0.5284228	0.3164857	1
1	3	0.5261713	0.3279781	1
1	3	0.4636718	0.402863	1
1	3	0.4349795	0.4420909	1
1	3	0.4351607	0.4502089	1
1	3	0.4395968	0.4661034	1
1	3	0.4420405	0.4626905	1
1	3	0.4516574	0.4670932	1
1	3	0.4486687	0.4481775	1
1	3	0.4488967	0.4362616	1
1	3	0.442248	0.4364302	1
1	3	0.4479334	0.4363785	1
1	3	0.4537905	0.452812	1
1	3	0.4827535	0.4349661	1
1	3	0.5201136	0.4059514	1
1	3	0.5300774	0.3896042	1
1	3	0.5251791	0.4029579	1
1	3	0.533777	0.3889363	1
1	3	0.5313653	0.400566	1
1	3	0.5259785	0.3939295	1
1	3	0.5297048	0.3945172	1
1	3	0.5338051	0.4032263	1
1	3	0.5264898	0.4087962	1
1	3	0.5252711	0.4051513	1
1	3	0.5280101	0.4017695	1
1	3	0.5337209	0.4014383	1
1	3	0.5290232	0.3964561	1
1	3	0.528453	0.4095919	1
1	3	0.5255145	0.4013566	1
1	3	0.5310536	0.393762	1
1	3	0.5239449	0.3997064	1
1	3	0.5236762	0.3986419	1
1	3	0.5213884	0.3912073	1
1	3	0.5198995	0.3937629	1
1	3	0.5234551	0.3973156	1
1	3	0.5201448	0.3999104	1
1	3	0.5242215	0.3951424	1
1	3	0.5209458	0.4041317	1
1	3	0.5191008	0.3956388	1
1	3	0.5205901	0.4002355	1
1	3	0.5180452	0.4034907	1
1	3	0.4399567	0.4364138	1
1	3	0.3549502	0.4793376	1
1	3	0.3670174	0.4736658	1
1	3	0.3641124	0.4772595	1
1	3	0.3662135	0.4769887	1
1	3	0.374335	0.4868429	1
1	3	0.3724154	0.4815255	1
1	3	0.3695892	0.4727968	1
1	3	0.3690462	0.4734085	1
1	3	0.3732212	0.4728897	1
1	3	0.3728619	0.4836284	1
1	3	0.3689766	0.4771446	1
1	3	0.3722667	0.4798695	1
1	3	0.366878	0.4795583	1
1	3	0.3733538	0.479903	1
1	3	0.3697346	0.4714416	1
1	3	0.3660309	0.4763654	1
1	3	0.3650127	0.4705378	1
1	3	0.3657798	0.4794779	1
1	3	0.3657474	0.4778847	1
1	3	0.3657264	0.4715021	1
1	3	0.3700356	0.474208	1
1	3	0.3681105	0.4719468	1
1	3	0.3666955	0.469505	1
1	3	0.3665251	0.4640266	1
1	3	0.3739298	0.4645845	1
1	3	0.3661329	0.4691502	1
1	3	0.367621	0.4737848	1
1	3	0.3625346	0.469037	1
1	3	0.3640903	0.474132	1
1	3	0.362195	0.4693922	1
1	3	0.3659801	0.4690768	1
1	3	0.3680605	0.4703121	1
1	3	0.3680412	0.4705738	1
1	3	0.3658905	0.4636396	1
1	3	0.3715608	0.4685806	1
1	3	0.3706788	0.4682072	1
1	3	0.3678378	0.4630685	1
